what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249159298903
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.cleanAction",1249159298944
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1249159325923
activated,editor,ch.epfl.lamp.sdt.core,2.7.5.final,"scala.tools.eclipse.Editor",1249159326202
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1249159327135
activated,editor,ch.epfl.lamp.sdt.core,2.7.5.final,"scala.tools.eclipse.Editor",1249159327469
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249159333833
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249159335763
executed,command,ch.epfl.lamp.sdt.core,2.7.5.final,"org.eclipse.shortcut.scala.run",1249159335803
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249159337996
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249159339953
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249159355307
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249159356757
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.cleanAction",1249159356801
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249159363251
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249159365451
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249159370747
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1249159395079
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1249159400996
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249159404745
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1249159417059
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1249159418450
activated,editor,ch.epfl.lamp.sdt.core,2.7.5.final,"scala.tools.eclipse.Editor",1249159418771
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1249159421889
activated,editor,ch.epfl.lamp.sdt.core,2.7.5.final,"scala.tools.eclipse.Editor",1249159422207
